Area,PatientDate,rolling_3_day_avg
Cardiology,2018-01-01,4.10
Cardiology,2018-02-01,4.09
Cardiology,2018-03-01,4.08
Cardiology,2018-04-01,4.06
Cardiology,2018-05-01,4.07
Cardiology,2018-06-01,4.09
Cardiology,2018-07-01,4.11
Cardiology,2018-08-01,4.10
Cardiology,2018-09-01,4.10
Cardiology,2018-10-01,4.09
Cardiology,2018-11-01,4.09
Cardiology,2018-12-01,4.10
Dermatology,2018-01-01,3.78
Dermatology,2018-02-01,3.78
Dermatology,2018-03-01,3.75
Dermatology,2018-04-01,3.75
Dermatology,2018-05-01,3.75
Dermatology,2018-06-01,3.77
Dermatology,2018-07-01,3.76
Dermatology,2018-08-01,3.77
Dermatology,2018-09-01,3.76
Dermatology,2018-10-01,3.80
Dermatology,2018-11-01,3.77
Dermatology,2018-12-01,3.78
Gynecology,2018-01-01,3.78
Gynecology,2018-02-01,3.80
Gynecology,2018-03-01,3.81
Gynecology,2018-04-01,3.79
Gynecology,2018-05-01,3.76
Gynecology,2018-06-01,3.75
Gynecology,2018-07-01,3.78
Gynecology,2018-08-01,3.82
Gynecology,2018-09-01,3.82
Gynecology,2018-10-01,3.81
Gynecology,2018-11-01,3.77
Gynecology,2018-12-01,3.75
Neurology,2018-01-01,3.64
Neurology,2018-02-01,3.65
Neurology,2018-03-01,3.68
Neurology,2018-04-01,3.73
Neurology,2018-05-01,3.76
Neurology,2018-06-01,3.78
Neurology,2018-07-01,3.90
Neurology,2018-08-01,3.90
Neurology,2018-09-01,3.87
Neurology,2018-10-01,3.74
Neurology,2018-11-01,3.78
Neurology,2018-12-01,3.84
Oncology,2018-01-01,3.72
Oncology,2018-02-01,3.74
Oncology,2018-03-01,3.73
Oncology,2018-04-01,3.73
Oncology,2018-05-01,3.74
Oncology,2018-06-01,3.75
Oncology,2018-07-01,3.80
Oncology,2018-08-01,3.78
Oncology,2018-09-01,3.77
Oncology,2018-10-01,3.74
Oncology,2018-11-01,3.76
Oncology,2018-12-01,3.76
Orthopaedics,2018-01-01,3.50
Orthopaedics,2018-02-01,3.46
Orthopaedics,2018-03-01,3.45
Orthopaedics,2018-04-01,3.44
Orthopaedics,2018-05-01,3.46
Orthopaedics,2018-06-01,3.48
Orthopaedics,2018-07-01,3.48
Orthopaedics,2018-08-01,3.48
Orthopaedics,2018-09-01,3.46
Orthopaedics,2018-10-01,3.43
Orthopaedics,2018-11-01,3.43
Orthopaedics,2018-12-01,3.42
Surgery,2018-01-01,3.75
Surgery,2018-02-01,3.72
Surgery,2018-03-01,3.71
Surgery,2018-04-01,3.71
Surgery,2018-05-01,3.74
Surgery,2018-06-01,3.76
Surgery,2018-07-01,3.77
Surgery,2018-08-01,3.75
Surgery,2018-09-01,3.74
Surgery,2018-10-01,3.73
Surgery,2018-11-01,3.76
Surgery,2018-12-01,3.78
